@relation train
@attribute R REAL
@attribute G REAL
@attribute B REAL
@attribute type {1,2,3,4,5,6,7}
@data
93.07,103.88,78.318,2
108.89,129.29,89.332,2
121.93,141.07,94.827,2
187.13,182.91,166.78,2
107.55,121.31,90.784,2
121.95,150.14,81.176,2
155.37,155.93,130.74,2
244.45,224.9,206.47,3
253.3,238.28,218.31,3
249.6,234.09,213.38,3
252.46,237.86,218.34,3
248.83,237.16,218.42,3
187.13,182.91,166.78,3
187.13,182.91,166.78,3
240.89,222.42,199.23,3
232.44,210.91,190.66,3
229.43,203.29,182.06,3
220.89,199.9,173.6,3
187.13,182.91,166.78,3
238.41,216.04,195.15,3
242.93,228.64,212.76,3
187.13,182.91,166.78,3
249.54,232.99,210.35,3
187.13,182.91,166.78,3
206,200.37,183.25,3
249.82,240.12,222.79,3
247.02,239.21,226.64,3
205.87,200.25,182.78,3
239.57,221.68,205.35,3
244.44,226.62,206.71,3
220.66,199.13,182.32,3
207.56,187.32,167.48,3
196.18,173.14,150.71,3
171.53,160.74,143.39,3
187.13,182.91,166.78,3
194.5,156.52,113.04,3
171.44,135.92,104.85,3
187.13,182.91,166.78,3
187.13,182.91,166.78,3
206.1,180.31,167.21,3
223.74,204.14,191.78,3
245.56,228.61,208.68,3
187.13,182.91,166.78,3
178.99,153.14,135.5,3
248.69,235.42,213.25,3
248.54,232.57,210.93,3
187.13,182.91,166.78,3
246.55,229.27,208.18,3
187.13,182.91,166.78,3
187.13,182.91,166.78,3
187.13,182.91,166.78,3
241.82,221.9,201.29,3
169,144.33,132.68,3
205.62,199.23,181.63,3
203.34,189.34,186.96,4
206.48,196.48,193.76,4
194.53,184.91,177.29,4
204.92,193.31,188.85,4
201.66,187.66,185.56,4
187.13,182.91,166.78,4
187.13,182.91,166.78,4
187.13,182.91,166.78,4
159.11,150.85,159.41,4
196.04,184.9,185.18,4
187.13,182.91,166.78,4
191.48,177.99,176.93,4
193.52,183.31,181.36,4
187.13,182.91,166.78,4
203.52,194.67,193.47,4
202.74,191.98,189.98,4
207.56,198.36,195.9,4
207.76,197.76,196.02,4
194.35,183.05,182.53,4
204.09,193.03,190.06,4
187.13,182.91,166.78,4
208.13,196.77,194.9,4
207.28,196.65,192.38,4
187.13,182.91,166.78,4
155.51,164.83,166.31,5
187.13,182.91,166.78,5
225.88,232.79,241.74,5
204.92,211.92,212.89,5
166.77,171.96,168.65,5
189.65,188.72,176.67,5
187.93,186.2,174.23,5
108.85,109.67,106.57,5
187.13,182.91,166.78,5
69.645,69.184,70.388,5
125.7,118.32,112.07,5
112.6,111.63,112.91,5
151.6,145.67,125.55,5
113.55,107.64,102.07,5
186.99,174.94,156.56,5
203.22,227.64,242.52,5
208.08,231.56,249.27,5
97.658,95.089,101.84,5
187.13,182.91,166.78,5
187.13,182.91,166.78,5
158.57,154.7,142.51,5
119.93,117.21,120.6,5
118.12,118.5,117.23,5
150.39,137.55,114.37,5
72.167,52.038,35.744,5
137,140.4,143.11,5
163.13,162.9,153.15,5
187.13,182.91,166.78,5
187.13,182.91,166.78,5
160.2,158.25,153.4,5
187.13,182.91,166.78,5
187.13,182.91,166.78,5
196.63,203.81,208.64,5
187.13,182.91,166.78,5
194.18,202.45,211.76,5
139.91,142.1,138.55,5
187.41,191.36,190.9,5
165.73,165.94,157.22,5
187.13,182.91,166.78,5
174.92,181.3,195.85,5
187.13,182.91,166.78,5
185.58,180.76,172.63,5
153.68,155.46,146.65,5
132.76,107.66,104.25,6
100.36,84.27,80.254,6
77.286,67.41,67.722,6
187.13,182.91,166.78,6
91.709,68.255,57.37,6
82.954,65.072,55.184,6
136.42,137.87,126.3,1
248.82,252.78,254.94,1
249,251.51,253.43,1
247.54,249.46,251.02,1
249.59,252.67,254.98,1
136.42,137.87,126.3,1
246.59,250.9,254.98,1
248.17,252.28,255,1
251.55,253.29,254.97,1
252.09,253.33,254.98,1
249,251.51,253.43,1
252.2,253.48,254.99,1
252.39,253.39,255,1
251.92,253.34,254.98,1
252.02,253.11,255,1
249,251.51,253.43,1
252.39,253.39,255,1
136.42,137.87,126.3,1
252.09,253.33,254.98,1
78.174,101.75,64.627,2
67.087,90.836,56.848,2
136.42,137.87,126.3,2
117.68,134.56,102.05,2
83.059,106.67,59.823,2
100.39,119.81,94.066,2
91.456,107.91,84.097,2
103.83,118,87.377,2
136.42,137.87,126.3,2
111.21,121.92,104.87,2
136.42,137.87,126.3,2
61.52,79.731,61.793,2
70.449,87.139,65.337,2
117.82,126.45,108.72,2
107.01,118.48,93.329,2
72.693,96.514,64.965,2
93.123,120.69,74.032,2
136.42,137.87,126.3,2
74.058,94.978,57.656,2
58.567,75.976,58.1,2
77.222,105.19,66.229,2
72.223,91.955,64.857,2
108.01,120.11,100.68,2
136.42,137.87,126.3,2
59.64,72.751,57.58,2
105.22,113.09,99.185,2
179.4,131.55,96.793,3
169.85,124.45,101.27,3
171.88,126.65,101.16,3
180.31,153.06,124.75,3
152.04,150.41,138.9,4
189.76,179.36,173.06,4
136.42,137.87,126.3,4
178.66,175.2,170.49,4
149.14,147.87,138.72,4
174.27,168.8,165.56,4
136.42,137.87,126.3,4
176.13,171.13,168.06,4
177.31,169.84,166.74,4
182.09,176.81,180.02,4
152.17,149.99,151.3,4
150.21,149.89,139.48,4
136.42,137.87,126.3,4
152.52,151.72,141.13,4
136.42,137.87,126.3,4
193.53,186.42,180.53,4
133.97,133.7,133.34,4
179.65,175.39,167.72,4
136.42,137.87,126.3,4
161.86,156.44,151.18,4
156.77,151.78,148.34,4
219.59,230.3,236.19,5
213.09,223.09,228.88,5
210.95,219.24,226.59,5
217.08,223.2,226.99,5
202.25,204.13,206.14,5
197.55,209.85,224.24,5
116.87,109.04,68.785,5
87.691,93.119,83.165,5
125.21,127.05,112.73,5
128.98,143.98,139.23,5
196.05,210.4,222.46,5
136.42,137.87,126.3,5
210.7,224.05,232.87,5
160.68,166.64,159.49,5
136.42,137.87,126.3,5
136.42,137.87,126.3,5
30.757,30.195,34.45,5
35.485,32.352,32.756,5
79.104,85.298,89.25,5
19.776,22.04,23.382,5
97.429,99.258,89.326,5
40.414,41.003,37.707,5
99.617,101.56,93.506,5
140.64,144.69,134.22,5
136.42,137.87,126.3,5
55.092,59.394,51.85,5
51.435,50.898,44.199,5
143.86,131.73,127.79,5
110.46,112.05,104.03,5
27.978,23.327,27.467,5
110.06,107.54,104.51,5
93.64,97.528,89.91,5
136.42,137.87,126.3,5
112.35,151.85,169.97,5
254.39,254.35,253.88,1
253.67,253.09,252.48,1
255,255,254.99,1
249.52,248.72,248.08,1
255,255,254.98,1
253.63,253.57,253.44,1
254.99,255,255,1
252.55,251.94,251.15,1
253.52,253.2,252.63,1
254.97,254.97,254.97,1
174.72,151.67,138.36,1
128.88,113.77,82.131,2
106,91.4,56.3,2
174.72,151.67,138.36,3
193.94,158.73,142.31,3
