@RELATION train_nocolour

@attribute G1 REAL
@attribute G2 REAL
@attribute x_region REAL
@attribute y_region REAL
@attribute num_pixels_regions REAL
@attribute text REAL
@attribute type {1,2,3,4,5,6,7}

@DATA
36.124,13.426,237.66,143.52,308,6,5
23.483,43.258,280.75,122.64,59,5,5
20.082,26.46,381.08,144.54,71,61,5
63.755,15.052,401.22,127.41,163,4,5
13.735,23.248,417.99,123.8,129,16,5
81.722,18.763,568.45,92.688,260,6,5
54.716,89.467,405.44,284.28,36,12,5
31.988,14.177,294.25,297.39,194,2,5
0.61291,74.036,158.42,287.9,196,3,5
31.787,19.15,198.44,297.89,231,6,5
19.337,64.515,327.38,291.27,63,9,5
79.707,19.059,453.45,268.1,256,41,5
14.709,80.038,527.36,491.06,201,12,5
28.135,66.026,397.07,491.76,173,5,5
13.461,99.497,259.36,491.8,535,5,5
-45.369,55.735,149.93,485.62,108,7,5
17.945,89.279,534.81,273.26,287,8,6
11.092,12.218,585,271.31,498,1,6
11.092,12.218,585,271.31,498,3,6
36.21,12.363,122.86,86.116,380,0,1
82.259,0.09785,84.662,25.897,2103,0,1
81.505,0.1071,41.557,32.769,2636,0,1
82.187,0.10783,41.097,97.297,5014,1,1
84.691,0.05607,37.29,142.85,2543,0,1
77.238,0.76471,54.445,181.79,3041,0,1
85.289,0.050118,36.999,299.56,7103,0,1
71.239,0.3145,87.71,263.73,1178,0,1
85.289,0.050118,36.999,299.56,7103,0,1
86.606,0.048827,65.388,354.17,1962,0,1
82.257,0.099365,26.355,428.47,5913,1,1
85.29,0.068295,76.161,496.02,707,0,1
78.498,0.19982,52.491,609.92,5942,0,1
78.498,0.19982,52.491,609.92,5942,1,1
78.498,0.19982,52.491,609.92,5942,0,1
82.045,0.11242,84.525,693.55,948,0,1
78.801,0.1701,18.82,733.42,3725,0,1
70.553,0.30724,130.85,760.19,356,0,1
74.655,0.26252,81.06,655.21,4796,0,1
83.085,0.13025,74.197,395.41,3883,0,1
83.472,0.084799,62.362,232.83,2640,0,1
82.257,0.099365,26.355,428.47,5913,0,1
83.472,0.084799,62.362,232.83,2640,0,1
-47.802,32.537,432.39,132.33,88,32,2
-0.96888,26.551,428.92,164.62,60,34,2
-13.123,37.012,480.51,261.25,154,55,2
-10.225,11.376,521.5,504.29,24,17,2
0.65833,12.15,520.12,634.98,86,19,2
18.951,11.243,568.64,537.14,14,9,2
27.009,14.039,507.61,350.58,178,9,2
94.858,31.601,439.19,20.648,88,29,2
-41.085,26.414,461.02,778.07,44,49,2
-15.846,24.62,461.09,665.54,65,22,2
13.48,8.498,257.5,12.063,48,7,3
19.35,72.132,239.88,41.9,60,7,3
-13.356,10.297,282,32.5,20,14,3
0.48776,19.012,347.41,38.074,27,35,3
-15.682,11.26,346.92,11.4,25,15,3
35.992,23.12,379.54,36.415,41,28,3
-65.798,95.541,379.77,62.014,70,15,3
14.03,11.149,423.56,59.563,16,16,3
-0.80831,10.141,306.35,66.2,135,12,3
33.797,15.953,238.33,77.566,122,7,3
43.091,70.727,268.11,74.778,90,16,3
-14.26,87.664,257,100,17,11,3
23.678,51.522,262.72,148.65,43,6,3
70.885,66.702,229.53,150.22,58,3,3
79.628,9.542,258.14,174.42,76,22,3
-17.348,87.994,251,228.67,63,14,3
12.122,10.06,233.6,252.19,72,23,3
23.316,11.587,289.85,246.42,26,19,3
23.979,10.131,347.64,248.77,47,28,3
56.608,10.045,349.98,200.22,40,8,3
29.517,10.907,348.79,158.53,38,7,3
-19.314,60.567,299.58,159.54,78,8,3
37.694,19.445,291.89,122.98,100,18,3
11.523,15.374,454.05,206.3,61,22,3
10.046,15.508,450.67,237.09,43,33,3
